,Unnamed: 0,id,imdb_id,title,original_title,release_date,revenue,budget,runtime,tagline,overview,production_countries,vote_average,vote_count,all_production_cos,list_genres,release_year,multiple,Lionsgate,Warner,fox,marvel,paramount,disney,production_companies,revenue_m,budget_m,is_us
156,156,6479.0,tt0480249,I Am Legend,I Am Legend,2007-12-14,585349010.0,150000000.0,101.0,The last man on Earth is not alone,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.1,8560.0,"['VillageRoadshowPictures', 'WeedRoadPictures', 'OriginalFilm', 'WarnerBros.Pictures', 'HeydayFilms', 'OverbrookEntertainment']","['Drama', 'Horror', 'Action', 'Thriller', 'ScienceFiction']",2007,3.902326733333333,False,True,False,False,False,False,"['VillageRoadshowPictures', 'WeedRoadPictures', 'OriginalFilm', 'WarnerBros.Pictures', 'HeydayFilms', 'OverbrookEntertainment']",585.34901,150.0,True
157,157,49519.0,tt0481499,The Croods,The Croods,2013-03-20,585178928.0,135000000.0,98.0,Meet the first modern family.,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.8,3729.0,['DreamWorksAnimation'],"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2013,4.334658725925926,False,False,False,False,False,False,['DreamWorksAnimation'],585.178928,135.0,True
158,158,1726.0,tt0371746,Iron Man,Iron Man,2008-04-30,585174222.0,140000000.0,126.0,Heroes aren't born. They're built.,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.5,14757.0,['MarvelStudios'],"['Action', 'ScienceFiction', 'Adventure']",2008,4.179815871428572,False,False,False,True,False,False,['MarvelStudios'],585.174222,140.0,True
159,159,333339.0,tt1677720,Ready Player One,Ready Player One,2018-03-28,582218455.0,175000000.0,140.0,A better reality awaits.,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.6,6470.0,"['AmblinEntertainment', 'DeLinePictures', 'DreamWorks', 'WarnerBros.Pictures', 'DuneEntertainment', 'FarahFilms&Management', 'RelianceEntertainment', 'VillageRoadshowPictures']","['Adventure', 'ScienceFiction']",2018,3.3269626,False,True,False,False,False,False,"['AmblinEntertainment', 'DeLinePictures', 'DreamWorks', 'WarnerBros.Pictures', 'DuneEntertainment', 'FarahFilms&Management', 'RelianceEntertainment', 'VillageRoadshowPictures']",582.218455,175.0,True
161,161,1593.0,tt0477347,Night at the Museum,Night at the Museum,2006-10-20,574480841.0,110000000.0,108.0,Where History Comes To Life,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}', '{iso_3166_1:GB', 'name:UnitedKingdom}']",6.5,5651.0,"['IngeniousFilmPartners', '1492Pictures', '21LapsEntertainment', '20thCenturyFox']","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2006,5.2225531,False,False,True,False,False,False,"['IngeniousFilmPartners', '1492Pictures', '21LapsEntertainment', '20thCenturyFox']",574.480841,110.0,True
162,162,1892.0,tt0086190,Return of the Jedi,Return of the Jedi,1983-05-23,572700000.0,32350000.0,135.0,The Empire Falls...,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.0,7805.0,"['Lucasfilm', '20thCenturyFox']","['Adventure', 'Action', 'ScienceFiction']",1983,17.7032457496136,False,False,True,False,False,False,"['Lucasfilm', '20thCenturyFox']",572.7,32.35,True
163,163,216015.0,tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015-02-11,571006128.0,40000000.0,125.0,Are you curious?,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",5.4,6210.0,"['FocusFeatures', 'MichaelDeLucaProductions', 'TriggerStreetProductions']","['Drama', 'Romance', 'Thriller']",2015,14.2751532,False,False,False,False,False,False,"['FocusFeatures', 'MichaelDeLucaProductions', 'TriggerStreetProductions']",571.006128,40.0,True
164,164,293167.0,tt3731562,Kong: Skull Island,Kong: Skull Island,2017-03-08,566652812.0,185000000.0,118.0,All hail the king,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.3,5813.0,"['LegendaryEntertainment', 'WarnerBros.Pictures']","['Action', 'Adventure', 'Fantasy']",2017,3.062988172972973,False,True,False,False,False,False,"['LegendaryEntertainment', 'WarnerBros.Pictures']",566.652812,185.0,True
165,165,41513.0,tt0472181,The Smurfs,The Smurfs,2011-07-29,563749323.0,110000000.0,103.0,Smurf Happens.,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",5.6,2027.0,"['SonyPicturesAnimation', 'KernerEntertainmentCompany', 'ColumbiaPictures']","['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2011,5.124993845454545,False,False,False,False,False,False,"['SonyPicturesAnimation', 'KernerEntertainmentCompany', 'ColumbiaPictures']",563.749323,110.0,True
166,166,585.0,tt0198781,"Monsters, Inc.","Monsters, Inc.",2001-11-01,562816256.0,115000000.0,92.0,We Scare Because We Care.,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.7,10366.0,"['Pixar', 'WaltDisneyPictures']","['Animation', 'Comedy', 'Family']",2001,4.8940544,False,False,False,False,False,True,"['Pixar', 'WaltDisneyPictures']",562.816256,115.0,True
167,167,49013.0,tt1216475,Cars 2,Cars 2,2011-06-11,559852396.0,200000000.0,106.0,Ka-ciao!,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",5.9,3868.0,"['Pixar', 'WaltDisneyPictures']","['Animation', 'Family', 'Adventure', 'Comedy']",2011,2.79926198,False,False,False,False,False,True,"['Pixar', 'WaltDisneyPictures']",559.852396,200.0,True
168,168,417859.0,tt0448694,Puss in Boots,Puss in Boots,2011-10-28,554987477.0,130000000.0,90.0,Live for danger. Fight for justice. Pray for mercy.,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.3,1323.0,['DreamWorksAnimation'],"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Comedy']",2011,4.269134438461538,False,False,False,False,False,False,['DreamWorksAnimation'],554.987477,130.0,True
170,170,95.0,tt0120591,Armageddon,Armageddon,1998-07-01,553799566.0,140000000.0,151.0,The Earth's Darkest Day Will Be Man's Finest Hour,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.6,4114.0,"['TouchstonePictures', 'JerryBruckheimerFilms', 'ValhallaMotionPictures']","['Action', 'Thriller', 'ScienceFiction', 'Adventure']",1998,3.9557111857142857,False,False,False,False,False,False,"['TouchstonePictures', 'JerryBruckheimerFilms', 'ValhallaMotionPictures']",553.799566,140.0,True
171,171,254.0,tt0360717,King Kong,King Kong,2005-12-12,550517357.0,207000000.0,187.0,The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['{iso_3166_1:NZ', 'name:NewZealand}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}', '{iso_3166_1:DE', 'name:Germany}']",6.7,4092.0,"['DinoDeLaurentiisCompany', 'Paramount']","['Adventure', 'Drama']",2005,2.6595041400966184,False,False,False,False,True,False,"['DinoDeLaurentiisCompany', 'Paramount']",550.517357,207.0,True
172,172,10730.0,tt0074751,King Kong,King Kong,1976-09-08,90614445.0,23000000.0,134.0,The most exciting original motion picture event of all time.,"In this remake of the 1933 classic about the giant ape, an oil company expedition disturbs the peace of Kong and brings him back to New York to exploit him. Even though a woman somewhat tames Kong, he finally breaks loose and terrorizes the city, and as the military attempt to stop him, he falls to his death from the top of the World Trade Center.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.0,329.0,"['DinoDeLaurentiisCompany', 'Paramount']","['Adventure', 'Drama']",1976,3.9397584782608694,False,False,False,False,True,False,"['DinoDeLaurentiisCompany', 'Paramount']",90.614445,23.0,True
173,173,72105.0,tt1637725,Ted,Ted,2012-06-29,549368315.0,50000000.0,106.0,Ted is coming.,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.3,7458.0,"['UniversalPictures', 'MediaRightsCapital', 'FuzzyDoorProductions']","['Comedy', 'Fantasy']",2012,10.9873663,False,False,False,False,False,False,"['UniversalPictures', 'MediaRightsCapital', 'FuzzyDoorProductions']",549.368315,50.0,True
174,174,955.0,tt0120755,Mission: Impossible II,Mission: Impossible II,2000-05-24,546388105.0,125000000.0,123.0,Expect the impossible again.,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.","['{iso_3166_1:DE', 'name:Germany}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.0,3400.0,"['Paramount', 'Cruise/WagnerProductions', 'MunichFilmPartners&Company(MFP)MI2Productions']","['Adventure', 'Action', 'Thriller']",2000,4.37110484,False,False,False,False,True,False,"['Paramount', 'Cruise/WagnerProductions', 'MunichFilmPartners&Company(MFP)MI2Productions']",546.388105,125.0,True
175,175,435.0,tt0319262,The Day After Tomorrow,The Day After Tomorrow,2004-05-26,544272402.0,125000000.0,124.0,Where will you be?,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.4,4172.0,"['""MelsCiteduCinema""', 'LionsGateFilms', 'CentropolisEntertainment', '20thCenturyFox', 'TheMarkGordonCompany']","['Action', 'Adventure', 'ScienceFiction', 'Thriller']",2004,4.354179216,True,False,True,False,False,False,"['""MelsCiteduCinema""', 'LionsGateFilms', 'CentropolisEntertainment', '20thCenturyFox', 'TheMarkGordonCompany']",544.272402,125.0,True
176,176,246655.0,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,2016-05-18,543934787.0,178000000.0,144.0,Only the strong will survive,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.5,7958.0,"['""TheDonnersCompany""', 'MarvelEntertainment', 'BadHatHarryProductions', 'TSGEntertainment', '20thCenturyFox', 'GenreFilms']","['Action', 'Adventure', 'ScienceFiction', 'Fantasy']",2016,3.0558134101123597,False,False,True,True,False,False,"['""TheDonnersCompany""', 'MarvelEntertainment', 'BadHatHarryProductions', 'TSGEntertainment', '20thCenturyFox', 'GenreFilms']",543.934787,178.0,True
177,177,150689.0,tt1661199,Cinderella,Cinderella,2015-03-12,543514353.0,95000000.0,105.0,Midnight is just the beginning.,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.","['{iso_3166_1:GB', 'name:UnitedKingdom}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.7,4330.0,"['WaltDisneyPictures', 'WaltDisneyProductions']","['Family', 'Fantasy', 'Animation', 'Romance']",2015,5.721203715789474,False,False,False,False,False,True,"['WaltDisneyPictures', 'WaltDisneyProductions']",543.514353,95.0,True
178,178,11224.0,tt0042332,Cinderella,Cinderella,1950-03-04,263591415.0,2900000.0,74.0,The greatest love story ever told.,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.9,3446.0,"['WaltDisneyPictures', 'WaltDisneyProductions']","['Family', 'Fantasy', 'Animation', 'Romance']",1950,90.89359137931035,False,False,False,False,False,True,"['WaltDisneyPictures', 'WaltDisneyProductions']",263.591415,2.9,True
179,179,20352.0,tt1323594,Despicable Me,Despicable Me,2010-07-08,543513985.0,69000000.0,95.0,Superbad. Superdad.,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.2,9736.0,"['IlluminationEntertainment', 'UniversalPictures']","['Animation', 'Family', 'Comedy']",2010,7.877014275362319,False,False,False,False,False,False,"['IlluminationEntertainment', 'UniversalPictures']",543.513985,69.0,True
180,180,190859.0,tt2179136,American Sniper,American Sniper,2014-12-11,542307423.0,58800000.0,133.0,The most lethal sniper in U.S. history.,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.4,7362.0,"['RatPac-DuneEntertainment', 'VillageRoadshowPictures', 'MadChanceProductions', '22&IndianaPictures', 'MalpasoProductions', 'WarnerBros.Pictures']","['War', 'Action']",2014,9.222915357142858,False,True,False,False,False,False,"['RatPac-DuneEntertainment', 'VillageRoadshowPictures', 'MadChanceProductions', '22&IndianaPictures', 'MalpasoProductions', 'WarnerBros.Pictures']",542.307423,58.8,True
181,181,62177.0,tt1217209,Brave,Brave,2012-06-21,538983207.0,185000000.0,93.0,Change your fate.,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.9,7790.0,['Pixar'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",2012,2.9134227405405406,False,False,False,False,False,False,['Pixar'],538.983207,185.0,True
182,182,1891.0,tt0080684,The Empire Strikes Back,The Empire Strikes Back,1980-05-20,538400000.0,18000000.0,124.0,The Adventure Continues...,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.3,9467.0,"['Lucasfilm', '20thCenturyFox']","['Adventure', 'Action', 'ScienceFiction']",1980,29.91111111111111,False,False,True,False,False,False,"['Lucasfilm', '20thCenturyFox']",538.4,18.0,True
183,183,281957.0,tt1663202,The Revenant,The Revenant,2015-12-25,532950503.0,135000000.0,157.0,"(n. One who has returned, as if from the dead.)","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","['{iso_3166_1:CA', 'name:Canada}', '{iso_3166_1:HK', 'name:HongKong}', '{iso_3166_1:TW', 'name:Taiwan}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.4,10611.0,"['MonarchyEnterprisesS.a.r.l.', 'RegencyEnterprises', 'AppianWay', 'CatchPlay', 'AnonymousContent', 'NewRegencyPictures', 'HongKongAlphaMotionPicturesCo.', 'MProductions', 'RatPac-DuneEntertainment']","['Western', 'Drama', 'Adventure']",2015,3.9477815037037036,False,False,False,False,False,False,"['MonarchyEnterprisesS.a.r.l.', 'RegencyEnterprises', 'AppianWay', 'CatchPlay', 'AnonymousContent', 'NewRegencyPictures', 'HongKongAlphaMotionPicturesCo.', 'MProductions', 'RatPac-DuneEntertainment']",532.950503,135.0,True
184,184,953.0,tt0351283,Madagascar,Madagascar,2005-05-25,532680671.0,75000000.0,86.0,Someone's got a zoo loose.,"Alex the lion is the king of the urban jungle, the main attraction at New York’s Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.8,5927.0,"['PacificDataImages(PDI)', 'DreamWorksAnimation', 'DreamWorks']","['Family', 'Animation']",2005,7.1024089466666664,False,False,False,False,False,False,"['PacificDataImages(PDI)', 'DreamWorksAnimation', 'DreamWorks']",532.680671,75.0,True
185,185,72190.0,tt0816711,World War Z,World War Z,2013-06-20,531865000.0,200000000.0,116.0,Remember Philly!,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}', '{iso_3166_1:MT', 'name:Malta}']",6.7,8797.0,"['GKFilms', 'Paramount', 'HemisphereMediaCapital', '2DUX²', 'ApparatusProductions', 'LatinaPictures', 'SkydanceMedia']","['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']",2013,2.659325,False,False,False,False,True,False,"['GKFilms', 'Paramount', 'HemisphereMediaCapital', '2DUX²', 'ApparatusProductions', 'LatinaPictures', 'SkydanceMedia']",531.865,200.0,True
186,186,124905.0,tt0831387,Godzilla,Godzilla,2014-05-14,529076069.0,160000000.0,123.0,The king will rise.,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when Godzilla, King of the Monsters, arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.","['{iso_3166_1:JP', 'name:Japan}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.1,4793.0,"['TohoCompany', 'Ltd.', 'TriStarPictures', 'CentropolisFilmProductions', 'IndependentPictures(II)', 'FriedFilms']","['ScienceFiction', 'Action', 'Thriller']",2014,3.30672543125,False,False,False,False,False,False,"['TohoCompany', 'Ltd.', 'TriStarPictures', 'CentropolisFilmProductions', 'IndependentPictures(II)', 'FriedFilms']",529.076069,160.0,True
187,187,929.0,tt0120685,Godzilla,Godzilla,1998-05-20,379014294.0,130000000.0,139.0,Size does matter.,"When a freighter is viciously attacked in the Pacific Ocean, a team of experts -- including biologist Niko Tatopoulos and scientists Elsie Chapman and Mendel Craven -- concludes that an oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan, destroying everything within its reach. The team chases the monster to Madison Square Garden, where a brutal battle ensues.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",5.5,1815.0,"['TohoCompany', 'Ltd.', 'TriStarPictures', 'CentropolisFilmProductions', 'IndependentPictures(II)', 'FriedFilms']","['ScienceFiction', 'Action', 'Thriller']",1998,2.9154945692307694,False,False,False,False,False,False,"['TohoCompany', 'Ltd.', 'TriStarPictures', 'CentropolisFilmProductions', 'IndependentPictures(II)', 'FriedFilms']",379.014294,130.0,True
188,188,35.0,tt0462538,The Simpsons Movie,The Simpsons Movie,2007-07-27,527068851.0,75000000.0,87.0,See our family. And feel better about yours.,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.9,4359.0,"['AKOMProductionCompany', 'GracieFilms', 'RoughDraftFeatureAnimation', 'FilmRoman', '20thCenturyFox']","['Animation', 'Comedy', 'Family']",2007,7.02758468,False,False,True,False,False,False,"['AKOMProductionCompany', 'GracieFilms', 'RoughDraftFeatureAnimation', 'FilmRoman', '20thCenturyFox']",527.068851,75.0,True
189,189,374720.0,tt5013056,Dunkirk,Dunkirk,2017-07-19,525573161.0,100000000.0,107.0,Survival is Victory,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.","['{iso_3166_1:FR', 'name:France}', '{iso_3166_1:NL', 'name:Netherlands}', '{iso_3166_1:GB', 'name:UnitedKingdom}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.4,8768.0,"['RatPac-DuneEntertainment', 'Ciné+', 'KaapHollandFilm', 'DombeyStreetProductions', 'Syncopy', 'WarnerBros.Pictures', 'Canal+']","['War', 'Action', 'Drama']",2017,5.25573161,False,True,False,False,False,False,"['RatPac-DuneEntertainment', 'Ciné+', 'KaapHollandFilm', 'DombeyStreetProductions', 'Syncopy', 'WarnerBros.Pictures', 'Canal+']",525.573161,100.0,True
190,190,10528.0,tt0988045,Sherlock Holmes,Sherlock Holmes,2009-12-23,524028679.0,90000000.0,128.0,Nothing escapes him.,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.","['{iso_3166_1:DE', 'name:Germany}', '{iso_3166_1:GB', 'name:UnitedKingdom}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.1,8733.0,"['VillageRoadshowPictures', 'SilverPictures', 'InternationaleFilmproduktionBlackbirdDritte', 'WigramProductions', 'WarnerBros.Pictures']","['Action', 'Adventure', 'Crime', 'Mystery']",2009,5.822540877777778,False,True,False,False,False,False,"['VillageRoadshowPictures', 'SilverPictures', 'InternationaleFilmproduktionBlackbirdDritte', 'WigramProductions', 'WarnerBros.Pictures']",524.028679,90.0,True
191,191,10681.0,tt0910970,WALL·E,WALL·E,2008-06-22,521311860.0,180000000.0,98.0,"After 700 years of doing what he was built for, he'll discover what he was meant for.","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.0,10378.0,"['Pixar', 'WaltDisneyPictures']","['Animation', 'Family', 'ScienceFiction']",2008,2.896177,False,False,False,False,False,True,"['Pixar', 'WaltDisneyPictures']",521.31186,180.0,True
192,192,140300.0,tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,2016-01-23,521170825.0,145000000.0,95.0,Grab destiny by the rice dumplings.,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","['{iso_3166_1:CN', 'name:China}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.7,2818.0,"['PearlStudio', 'ChinaFilmCo.', 'DreamWorksAnimation', '20thCenturyFox']","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2016,3.594281551724138,False,False,True,False,False,False,"['PearlStudio', 'ChinaFilmCo.', 'DreamWorksAnimation', '20thCenturyFox']",521.170825,145.0,True
193,193,280.0,tt0103064,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991-07-03,520000000.0,102000000.0,137.0,It's nothing personal.,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","['{iso_3166_1:FR', 'name:France}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.9,6449.0,"['T2Productions', 'LightstormEntertainment', 'PacificWestern', 'Canal+', 'CarolcoPictures', 'TriStarPictures']","['Action', 'Thriller', 'ScienceFiction']",1991,5.098039215686274,False,False,False,False,False,False,"['T2Productions', 'LightstormEntertainment', 'PacificWestern', 'Canal+', 'CarolcoPictures', 'TriStarPictures']",520.0,102.0,True
194,194,102899.0,tt0478970,Ant-Man,Ant-Man,2015-07-14,519311965.0,130000000.0,117.0,Heroes don't get any bigger.,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.1,11214.0,['MarvelStudios'],"['ScienceFiction', 'Action', 'Adventure']",2015,3.9947074230769233,False,False,False,True,False,False,['MarvelStudios'],519.311965,130.0,True
