,Unnamed: 0,id,imdb_id,title,original_title,release_date,revenue,budget,runtime,tagline,overview,production_countries,vote_average,vote_count,all_production_cos,list_genres,release_year,multiple,Lionsgate,Warner,fox,marvel,paramount,disney,production_companies,revenue_m,budget_m,is_us
11,11,181808.0,tt2527336,Star Wars: The Last Jedi,Star Wars: The Last Jedi,2017-12-13,1332459537.0,200000000.0,152.0,Darkness rises... and light to meet it,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.0,8131.0,"['Lucasfilm', 'WaltDisneyPictures', 'RamBergmanProductions', 'FormulaFilm', 'TruenorthProductions', 'JucumariFilms']","['Fantasy', 'Adventure', 'ScienceFiction', 'Action']",2017,6.662297685,False,False,False,False,False,True,"['Lucasfilm', 'WaltDisneyPictures', 'RamBergmanProductions', 'FormulaFilm', 'TruenorthProductions', 'JucumariFilms']",1332.459537,200.0,True
12,12,351286.0,tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018-06-06,1303459585.0,170000000.0,129.0,The park is gone,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.5,5542.0,"['AmblinEntertainment', 'LegendaryEntertainment', 'UniversalPictures', 'PerfectWorldPictures']","['Action', 'Adventure', 'ScienceFiction']",2018,7.667409323529411,False,False,False,False,False,False,"['AmblinEntertainment', 'LegendaryEntertainment', 'UniversalPictures', 'PerfectWorldPictures']",1303.459585,170.0,True
13,13,109445.0,tt2294629,Frozen,Frozen,2013-11-27,1274219009.0,150000000.0,102.0,Only the act of true love will thaw a frozen heart.,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.3,9350.0,"['WaltDisneyPictures', 'WaltDisneyAnimationStudios']","['Animation', 'Adventure', 'Family']",2013,8.494793393333333,False,False,False,False,False,True,"['WaltDisneyPictures', 'WaltDisneyAnimationStudios']",1274.219009,150.0,True
14,14,260513.0,tt3606756,Incredibles 2,Incredibles 2,2018-06-14,1241891456.0,200000000.0,118.0,Back to work.,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.6,5703.0,"['WaltDisneyPictures', 'Pixar']","['Action', 'Adventure', 'Animation', 'Family']",2018,6.20945728,False,False,False,False,False,True,"['WaltDisneyPictures', 'Pixar']",1241.891456,200.0,True
15,15,337339.0,tt4630562,The Fate of the Furious,The Fate of the Furious,2017-04-12,1238764765.0,250000000.0,136.0,Family no more,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.9,6098.0,"['UniversalPictures', 'OriginalFilm', 'FujiEightCompanyLtd.', 'ChinaFilmCo.', 'Dentsu', 'OneRace']","['Adventure', 'Action', 'Crime', 'Thriller', 'Mystery']",2017,4.95505906,False,False,False,False,False,False,"['UniversalPictures', 'OriginalFilm', 'FujiEightCompanyLtd.', 'ChinaFilmCo.', 'Dentsu', 'OneRace']",1238.764765,250.0,True
16,16,68721.0,tt1300854,Iron Man 3,Iron Man 3,2013-04-18,1215439994.0,200000000.0,130.0,Unleash the power behind the armor.,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.9,13442.0,['MarvelStudios'],"['Action', 'Adventure', 'ScienceFiction']",2013,6.07719997,False,False,False,True,False,False,['MarvelStudios'],1215.439994,200.0,True
17,17,211672.0,tt2293640,Minions,Minions,2015-06-17,1156730962.0,74000000.0,91.0,"Before Gru, they had a history of bad bosses","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.4,7170.0,"['IlluminationEntertainment', 'UniversalPictures']","['Family', 'Animation', 'Adventure', 'Comedy']",2015,15.631499486486486,False,False,False,False,False,False,"['IlluminationEntertainment', 'UniversalPictures']",1156.730962,74.0,True
18,18,271110.0,tt3498820,Captain America: Civil War,Captain America: Civil War,2016-04-27,1153304495.0,240000000.0,147.0,Divided We Fall,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.3,13187.0,['MarvelStudios'],"['Adventure', 'Action', 'ScienceFiction']",2016,4.805435395833333,False,False,False,True,False,False,['MarvelStudios'],1153.304495,240.0,True
19,19,297802.0,tt1477834,Aquaman,Aquaman,2018-12-07,1143689193.0,160000000.0,144.0,Home Is Calling,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.","['{iso_3166_1:AU', 'name:Australia}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.8,4866.0,"['DCComics', 'DCEntertainment', 'WarnerBros.Pictures', 'TheSafranCompany', 'MadGhostProductions', 'RodeoFX', 'PanoramicPictures']","['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",2018,7.14805745625,False,True,False,False,False,False,"['DCComics', 'DCEntertainment', 'WarnerBros.Pictures', 'TheSafranCompany', 'MadGhostProductions', 'RodeoFX', 'PanoramicPictures']",1143.689193,160.0,True
20,20,38356.0,tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011-06-28,1123746996.0,195000000.0,154.0,The invasion we always feared. An enemy we never expected.,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.1,4806.0,"['HasbroStudios', 'Paramount', 'DiBonaventuraPictures', 'IndochinaProductions']","['Action', 'ScienceFiction', 'Adventure']",2011,5.762805107692308,False,False,False,False,True,False,"['HasbroStudios', 'Paramount', 'DiBonaventuraPictures', 'IndochinaProductions']",1123.746996,195.0,True
