,index,canonicalUri,category,categoryUri,publishDate,title,uid
82,82,https://www.lionsgate.com/movies/leap,Movies,https://www.lionsgate.com/movies,2018-09-10 19:26:00,Leap!,00000165-c5ce-d6eb-a5ed-e7ffd2030000
83,83,https://www.lionsgate.com/movies/my-little-pony-the-movie,Movies,https://www.lionsgate.com/movies,2018-08-16 02:08:00,My Little Pony: The Movie,00000165-4159-d038-abed-e9d9799a0000
84,84,https://www.lionsgate.com/movies/norm-of-the-north,Movies,https://www.lionsgate.com/movies,2018-08-16 02:09:00,Norm Of The North,00000165-415a-d038-abed-e9db97cf0000
85,85,https://www.lionsgate.com/movies/power-rangers,Movies,https://www.lionsgate.com/movies,2018-08-16 02:11:00,Saban'S Power Rangers,00000165-415c-d038-abed-e9dd0afe0000
86,86,https://www.lionsgate.com/movies/escape-from-planet-earth,Movies,https://www.lionsgate.com/movies,2018-08-16 01:58:00,Escape From Planet Earth,00000165-4150-d038-abed-e9d16bd00000
87,87,https://www.lionsgate.com/movies/dirty-dancing,Movies,https://www.lionsgate.com/movies,2018-08-16 01:55:00,Dirty Dancing,00000165-414d-d038-abed-e9dd2de60000
88,88,https://www.lionsgate.com/movies/la-la-land,Movies,https://www.lionsgate.com/movies,2018-08-16 02:06:00,La La Land,00000165-4157-d038-abed-e9d7ea490000
89,89,https://www.lionsgate.com/movies/rock-dog,Movies,https://www.lionsgate.com/movies,2018-08-16 02:13:00,Rock Dog,00000165-415e-d038-abed-e9df0fb40000
90,90,https://www.lionsgate.com/movies/blindspotting,Movies,https://www.lionsgate.com/movies,2018-08-16 01:53:00,Blindspotting,00000165-414b-d038-abed-e9dbcc4b0000
91,91,https://www.lionsgate.com/movies/love-beats-rhymes,Movies,https://www.lionsgate.com/movies,2018-08-16 02:07:00,Love Beats Rhymes,00000165-4158-d038-abed-e9d9cc5e0000
92,92,https://www.lionsgate.com/movies/a-simple-favor,Movies,https://www.lionsgate.com/movies,2018-12-17 23:59:00,A Simple Favor,00000165-3a6f-d038-abed-fbff959a0000
93,93,https://www.lionsgate.com/movies/the-hunger-games,Movies,https://www.lionsgate.com/movies,2018-09-10 20:56:00,The Hunger Games,00000165-c621-d6eb-a5ed-e73136280000
94,94,https://www.lionsgate.com/movies/wonder,Movies,https://www.lionsgate.com/movies,2018-08-14 19:57:00,Wonder,00000165-3adb-d038-abed-fbdbae3f0000
95,95,https://www.lionsgate.com/movies/divergent,Movies,https://www.lionsgate.com/movies,2018-09-21 03:00:00,Divergent,00000165-fae9-d035-a77f-faedd86f0000
96,96,https://www.lionsgate.com/movies/twilight,Movies,https://www.lionsgate.com/movies,2018-09-10 20:59:00,Twilight,00000165-c623-d6eb-a5ed-e733e6490000
97,97,https://www.lionsgate.com/movies/nerve,Movies,https://www.lionsgate.com/movies,2018-08-16 02:09:00,Nerve,00000165-4159-d038-abed-e9d9f1d20000
98,98,https://www.lionsgate.com/movies/the-shack,Movies,https://www.lionsgate.com/movies,2018-08-16 02:19:00,The Shack,00000165-4162-d038-abed-e9f3f31f0000
99,99,https://www.lionsgate.com/movies/american-assassin,Movies,https://www.lionsgate.com/movies,2018-08-16 01:50:00,American Assassin,00000165-4149-d038-abed-e9d92d820000
100,100,https://www.lionsgate.com/movies/american-psycho,Movies,https://www.lionsgate.com/movies,2018-08-16 01:51:00,American Psycho,00000165-4149-d038-abed-e9d988890000
101,101,https://www.lionsgate.com/movies/the-duff,Movies,https://www.lionsgate.com/movies,2018-08-16 02:17:00,The Duff,00000165-4161-d038-abed-e9f1fd860000
102,102,https://www.lionsgate.com/movies/you-were-never-really-here,Movies,https://www.lionsgate.com/movies,2018-08-16 02:20:00,You Were Never Really Here,00000165-4164-d038-abed-e9f57c790000
103,103,https://www.lionsgate.com/movies/the-kid,Movies,https://www.lionsgate.com/movies,2019-02-22 21:26:00,The Kid,00000169-17c0-da3f-a57b-97cf671a0000
