,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
1074,False,/5zFPETFWgPpinCwro619gdEZpiM.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,576225,tt9526822,tl,Alone/Together,"Christine an Art Studies major student at University of the Philippines Diliman a smart and very ambitious who is in a relationship with a Biology student at University of Santo Tomas, Raf a very total opposite character of Christine.",3.679,/8fL87cgyyPjgvICHCek1euwOAS9.jpg,"[{'id': 108831, 'logo_path': '/atPPKDg34CDQSz6VZ1nlef7E5ba.png', 'name': 'Black Sheep', 'origin_country': ''}, {'id': 97110, 'logo_path': None, 'name': 'Project 8 Cor. San Joaquin', 'origin_country': ''}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",2019-02-13,0,120.0,"[{'iso_639_1': 'tl', 'name': ''}]",Released,,Alone/Together,False,6.5,2
1075,False,/fPwJmIg6CVNNXUJvL1wgeexzwEp.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",http://www.isntitromantic.com/,449563,tt2452244,en,Isn't It Romantic,"For a long time, Natalie, an Australian architect living in New York City, had always believed that what she had seen in rom-coms is all fantasy. But after thwarting a mugger at a subway station only to be knocked out while fleeing, Natalie wakes up and discovers that her life has suddenly become her worst nightmare—a romantic comedy—and she is the leading lady.",36.861,/5xNBYXuv8wqiLVDhsfqCOr75DL7.jpg,"[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}, {'id': 8000, 'logo_path': '/f8NwLg72BByt3eav7lX1lcJfe60.png', 'name': 'Broken Road Productions', 'origin_country': 'US'}, {'id': 115634, 'logo_path': None, 'name': 'Camp Sugar', 'origin_country': ''}, {'id': 53152, 'logo_path': None, 'name': 'Creative Wealth Media Finance', 'origin_country': 'CA'}, {'id': 113548, 'logo_path': None, 'name': 'Netflix Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-02-13,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,None of the Feels,Isn't It Romantic,False,6.4,1131
1076,False,/zfjK1vcdj7O0HfwqJ4SGybF62Yw.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,542828,tt7543914,fr,Deux fils,"Joseph and his two sons, Joachim and Ivan, form a close-knit family but fail to see that each one is losing control of his life. Joachim is supposed to be studying psychiatry but spends most of his time daydreaming about his ex-girlfriend, Ivan cannot fit in at school despite being very smart, and Joseph has secretly quit his job as a doctor and is trying to become a writer. While there is plenty of affection at home, all three are also, clumsily, searching for love...",4.48,/4cQ5MHev1vLwrqIVAUFv2mKP1B6.jpg,[],[],2019-02-13,0,90.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Father & Sons,False,6.2,20
1077,False,/dhNJHBDacrZjSPtwaiwp3idpzxU.jpg,"{'id': 526380, 'name': 'Happy Death Day Collection', 'poster_path': '/qt4pNUiuXUCgDZJqQDqoDXha3Vl.jpg', 'backdrop_path': '/3lzMMfOxZC1QrZrFt2ozEs8IowU.jpg'}",9000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",https://www.happydeathday.com,512196,tt8155288,en,Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",89.25,/4tdnePOkOOzwuGPEOAHp8UA4vqx.jpg,"[{'id': 96377, 'logo_path': '/6B3ggX8aVsyp2t9MUpSriEEyev1.png', 'name': 'Digital Riot Media', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-02-13,25327500,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Death makes a killer comeback,Happy Death Day 2U,False,6.1,478
1078,False,/nqVUKnZygyYdTuLomflH4ZPjWvq.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,580070,tt8258538,fr,"Ma mère, le crabe et moi",14-year-old Tania starts to become aware that the boys at school are interested in her at the same time as she learns that her mother has breast cancer.,0.927,/oEpxGzANN26Ca51jo3TypJHbPXP.jpg,"[{'id': 310, 'logo_path': '/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png', 'name': 'Centre National de la Cinématographie', 'origin_country': 'FR'}, {'id': 114794, 'logo_path': None, 'name': 'LM les Films', 'origin_country': ''}, {'id': 7131, 'logo_path': '/eLvjHPYZ12GR58lrDgg6MXZp2a3.png', 'name': 'France Télévisions', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2019-02-13,0,93.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,"My Mum, Cancer and Me",False,6.0,2
1079,False,,,0,"[{'id': 18, 'name': 'Drama'}]",,530563,tt8503634,de,Lotte am Bauhaus,"Weimar 1921: The life of 20-year-old Lotte Brendel seems to be predetermined. Her father sees her as a future wife and mother on the side of a man who is to take over the parental carpentry business. But the idiosyncratic Lotte joins a group of young artists against the will of her family, applies at the Bauhaus and is accepted. The Weimar Bauhaus, under the direction of the visionary Walter Gropius, aspires not only to combine arts and crafts, but also to find the place for the ""New Man"". In the student Paul Seligmann Lotte finds a supporter and her great love.",2.084,/lMuLR4av29XXWpnAzUZKptQ4gVK.jpg,"[{'id': 24307, 'logo_path': '/xJo66MG6C99FeO81ddXVswjEmSB.png', 'name': 'UFA Fiction', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2019-02-13,0,105.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Lotte am Bauhaus,False,6.0,1
1080,False,/aNW5Rfv8gphYjbw1RMXYyjLrr1S.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,518734,tt8412820,fr,Dans la terrible jungle,"Within the large wooded grounds of the pedagogical medical institute La Pépinière, in the Nord-Pas-de-Calais, a dozen eager, frank and spontaneous teenagers engage in a game of staging and cinema. An occasion for experimenting with music, poetry, love and philosophy, the institute becomes a stage for confidence and escape - revealing the inner tug of war between the quest for the mundane and the extraordinary.",0.777,/uysqyjsZHD6dz3jBkfcukcJX4pK.jpg,[],[],2019-02-13,0,81.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,In the mighty jungle,False,6.0,1
1081,False,/lHzTBxcCje9MGwnEKFc2rvPUtM9.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,510452,tt8129966,fr,All Inclusive,,5.26,/nvcxCvi68TokATItgpObPoFvNh5.jpg,"[{'id': 2913, 'logo_path': None, 'name': 'Warner Bros. France', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2019-02-13,0,,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,All Inclusive,False,3.6,30
1082,False,/5dzr0cpaX4W5uuWy7TqX744fTAK.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,484739,tt6318728,fr,Un Ange,"Being a prostitute is not easy, let alone being Senegalese. Fatou is both. A paying customer dies under suspicious circumstances and turns out to be a world-class cyclist. After this fatal accident Fatou's world slowly falls apart.",0.879,/xap4SmMH6cPNzjuBT7KTVwGa5Qv.jpg,"[{'id': 32473, 'logo_path': None, 'name': 'Graniet Film', 'origin_country': 'NL'}, {'id': 2853, 'logo_path': None, 'name': 'Czar', 'origin_country': ''}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}]",2019-02-13,0,,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'wo', 'name': 'Wolof'}]",Released,,Angel,False,2.0,3
1083,False,/daoeIahC0A2h5FOYzbExdM8uanS.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,584377,tt9614612,en,Sketchy Behaviour,"Sketchy Behaviour is an absurd sketch comedy show filmed live in front of a largely captive audience in Mumbai. Described as hilarious, complex, stupid, irritating (and 'sardonic' by one lady in Goa) the show veers in and out of the familiar and the bizarre with equal comfort. A knee-slapping head-scratching torrent of jokes, characters and self-aware comedy that successfully spent the entire budget that was available to spend on the show. Featuring six very silly live sketches, stitched together by a much sillier story about the nature of art itself and bookended by extremely silly and unnecessary opening and closing, Sketchy Behaviour is truly a work of something.",0.6,/qHWrt15TMPerivsFUQg9uK81qto.jpg,[],[],2019-02-13,0,63.0,[],Released,,Sketchy Behaviour,False,0.0,0
